Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[shell32.dll]","[shell32.dll]",33,0,6.90,0.00,
"Caller","[shell32.dll]","[windows.storage.dll]",1,0,0.21,0.00,
"Callee","[shell32.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[shell32.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[shell32.dll]","[shell32.dll]",33,0,6.90,0.00,
"Callee","[shell32.dll]","[windows.storage.dll]",32,0,6.69,0.00,
"Root","[shlwapi.dll]","[shlwapi.dll]",5,0,1.05,0.00,
"Caller","[shlwapi.dll]","[shlwapi.dll]",5,0,1.05,0.00,
"Caller","[shlwapi.dll]","[windows.storage.dll]",5,0,1.05,0.00,
"Callee","[shlwapi.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[shlwapi.dll]","[shlwapi.dll]",5,0,1.05,0.00,
"Callee","[shlwapi.dll]","[urlmon.dll]",4,0,0.84,0.00,
"Root","[sspicli.dll]","[sspicli.dll]",1,0,0.21,0.00,
"Caller","[sspicli.dll]","[sspicli.dll]",1,0,0.21,0.00,
"Caller","[sspicli.dll]","[w3tp.dll]",1,0,0.21,0.00,
"Callee","[sspicli.dll]","[rpcrt4.dll]",1,0,0.21,0.00,
"Callee","[sspicli.dll]","[sspicli.dll]",1,0,0.21,0.00,
"Root","[tiptsf.dll]","[tiptsf.dll]",1,0,0.21,0.00,
"Caller","[tiptsf.dll]","[tiptsf.dll]",1,0,0.21,0.00,
"Caller","[tiptsf.dll]","[user32.dll]",1,0,0.21,0.00,
"Callee","[tiptsf.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[tiptsf.dll]","[tiptsf.dll]",1,0,0.21,0.00,
"Root","[ucrtbase.dll]","[ucrtbase.dll]",1,1,0.21,0.21,
"Caller","[ucrtbase.dll]","[ucrtbase.dll]",1,1,0.21,0.21,
"Caller","[ucrtbase.dll]","[winhttp.dll]",1,0,0.21,0.00,
"Callee","[ucrtbase.dll]","[ucrtbase.dll]",1,1,0.21,0.21,
"Root","[urlmon.dll]","[urlmon.dll]",4,0,0.84,0.00,
"Caller","[urlmon.dll]","[shlwapi.dll]",4,0,0.84,0.00,
"Caller","[urlmon.dll]","[urlmon.dll]",4,0,0.84,0.00,
"Callee","[urlmon.dll]","[iertutil.dll]",3,0,0.63,0.00,
"Callee","[urlmon.dll]","[urlmon.dll]",4,0,0.84,0.00,
"Callee","[urlmon.dll]","[windows.storage.dll]",1,0,0.21,0.00,
"Root","[user32.dll]","[user32.dll]",11,0,2.30,0.00,
"Caller","[user32.dll]","[iisexpress.exe]",7,0,1.46,0.00,
"Caller","[user32.dll]","[ntdll.dll]",7,0,1.46,0.00,
"Caller","[user32.dll]","[user32.dll]",11,0,2.30,0.00,
"Callee","[user32.dll]","[gdi32full.dll]",1,0,0.21,0.00,
"Callee","[user32.dll]","[KernelBase.dll]",3,0,0.63,0.00,
"Callee","[user32.dll]","[ntdll.dll]",3,0,0.63,0.00,
"Callee","[user32.dll]","[ntdll.dll]",3,0,0.63,0.00,
"Callee","[user32.dll]","[tiptsf.dll]",1,0,0.21,0.00,
"Callee","[user32.dll]","[user32.dll]",11,0,2.30,0.00,
"Callee","[user32.dll]","[uxtheme.dll]",2,0,0.42,0.00,
"Callee","[user32.dll]","[win32u.dll]",1,0,0.21,0.00,
"Root","[uxtheme.dll]","[uxtheme.dll]",2,0,0.42,0.00,
"Caller","[uxtheme.dll]","[user32.dll]",2,0,0.42,0.00,
"Caller","[uxtheme.dll]","[uxtheme.dll]",2,0,0.42,0.00,
"Callee","[uxtheme.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[uxtheme.dll]","[uxtheme.dll]",2,0,0.42,0.00,
"Callee","[uxtheme.dll]","[win32u.dll]",1,0,0.21,0.00,
"Root","[w3tp.dll]","[w3tp.dll]",136,42,28.45,8.79,
"Caller","[w3tp.dll]","[kernel32.dll]",136,42,28.45,8.79,
"Callee","[w3tp.dll]","[advapi32.dll]",1,0,0.21,0.00,
"Callee","[w3tp.dll]","[combase.dll]",2,0,0.42,0.00,
"Callee","[w3tp.dll]","[httpapi.dll]",2,0,0.42,0.00,
"Callee","[w3tp.dll]","[IPHLPAPI.DLL]",8,0,1.67,0.00,
"Callee","[w3tp.dll]","[KernelBase.dll]",37,3,7.74,0.63,
"Callee","[w3tp.dll]","[msvcrt.dll]",14,5,2.93,1.05,
"Callee","[w3tp.dll]","[ntdll.dll]",8,2,1.67,0.42,
"Callee","[w3tp.dll]","[sspicli.dll]",1,0,0.21,0.00,
"Callee","[w3tp.dll]","[winhttp.dll]",21,0,4.39,0.00,
"Root","[w3wphost.dll]","[w3wphost.dll]",2,0,0.42,0.00,
"Caller","[w3wphost.dll]","[ntdll.dll]",2,0,0.42,0.00,
"Callee","[w3wphost.dll]","[httpapi.dll]",1,0,0.21,0.00,
"Callee","[w3wphost.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Root","[webio.dll]","[webio.dll]",11,3,2.30,0.63,
"Caller","[webio.dll]","[KernelBase.dll]",4,0,0.84,0.00,
"Caller","[webio.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[webio.dll]","[webio.dll]",11,3,2.30,0.63,
"Caller","[webio.dll]","[winhttp.dll]",6,0,1.26,0.00,
"Callee","[webio.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[webio.dll]","[webio.dll]",11,3,2.30,0.63,
"Callee","[webio.dll]","[ws2_32.dll]",7,0,1.46,0.00,
"Root","[win32u.dll]","[win32u.dll]",2,0,0.42,0.00,
"Caller","[win32u.dll]","[user32.dll]",1,0,0.21,0.00,
"Caller","[win32u.dll]","[uxtheme.dll]",1,0,0.21,0.00,
"Callee","[win32u.dll]","[ntdll.dll]",2,0,0.42,0.00,
"Root","[windows.storage.dll]","[windows.storage.dll]",39,2,8.16,0.42,
"Caller","[windows.storage.dll]","[nativrd2.dll]",2,0,0.42,0.00,
"Caller","[windows.storage.dll]","[ntdll.dll]",5,0,1.05,0.00,
"Caller","[windows.storage.dll]","[shell32.dll]",32,0,6.69,0.00,
"Caller","[windows.storage.dll]","[urlmon.dll]",1,0,0.21,0.00,
"Caller","[windows.storage.dll]","[windows.storage.dll]",38,2,7.95,0.42,
"Callee","[windows.storage.dll]","[cfgmgr32.dll]",1,0,0.21,0.00,
"Callee","[windows.storage.dll]","[iertutil.dll]",1,0,0.21,0.00,
"Callee","[windows.storage.dll]","[KernelBase.dll]",11,1,2.30,0.21,
"Callee","[windows.storage.dll]","[ntdll.dll]",9,2,1.88,0.42,
"Callee","[windows.storage.dll]","[profapi.dll]",1,0,0.21,0.00,
"Callee","[windows.storage.dll]","[propsys.dll]",6,0,1.26,0.00,
"Callee","[windows.storage.dll]","[SHCore.dll]",3,0,0.63,0.00,
"Callee","[windows.storage.dll]","[shell32.dll]",1,0,0.21,0.00,
"Callee","[windows.storage.dll]","[shlwapi.dll]",5,0,1.05,0.00,
"Callee","[windows.storage.dll]","[windows.storage.dll]",38,2,7.95,0.42,
"Root","[winhttp.dll]","[winhttp.dll]",32,0,6.69,0.00,
"Caller","[winhttp.dll]","[aspnetcore.dll]",14,0,2.93,0.00,
"Caller","[winhttp.dll]","[iisexpress.exe]",2,0,0.42,0.00,
"Caller","[winhttp.dll]","[ntdll.dll]",9,0,1.88,0.00,
"Caller","[winhttp.dll]","[w3tp.dll]",21,0,4.39,0.00,
"Caller","[winhttp.dll]","[winhttp.dll]",31,0,6.49,0.00,
"Callee","[winhttp.dll]","[aspnetcore.dll]",14,4,2.93,0.84,
"Callee","[winhttp.dll]","[KernelBase.dll]",4,0,0.84,0.00,
"Callee","[winhttp.dll]","[ntdll.dll]",5,1,1.05,0.21,
"Callee","[winhttp.dll]","[rpcrt4.dll]",2,0,0.42,0.00,
"Callee","[winhttp.dll]","[ucrtbase.dll]",1,0,0.21,0.00,
"Callee","[winhttp.dll]","[webio.dll]",6,0,1.26,0.00,
"Callee","[winhttp.dll]","[winhttp.dll]",31,0,6.49,0.00,
"Root","[wow64.dll]","[wow64.dll]",236,6,49.37,1.26,
"Caller","[wow64.dll]","[ntdll.dll]",236,0,49.37,0.00,
"Caller","[wow64.dll]","[wow64.dll]",236,3,49.37,0.63,
"Caller","[wow64.dll]","[wow64cpu.dll]",174,3,36.40,0.63,
"Caller","[wow64.dll]","[wow64win.dll]",3,0,0.63,0.00,
"Callee","[wow64.dll]","[klhkum.dll]",41,0,8.58,0.00,
"Callee","[wow64.dll]","[ntdll.dll]",125,124,26.15,25.94,
"Callee","[wow64.dll]","[wow64.dll]",236,3,49.37,0.63,
"Callee","[wow64.dll]","[wow64cpu.dll]",233,2,48.74,0.42,
"Callee","[wow64.dll]","[wow64win.dll]",7,0,1.46,0.00,
"Root","[wow64cpu.dll]","[wow64cpu.dll]",233,57,48.74,11.92,
"Caller","[wow64cpu.dll]","[wow64.dll]",233,2,48.74,0.42,
"Caller","[wow64cpu.dll]","[wow64cpu.dll]",55,55,11.51,11.51,
"Callee","[wow64cpu.dll]","[ntdll.dll]",2,2,0.42,0.42,
"Callee","[wow64cpu.dll]","[wow64.dll]",174,3,36.40,0.63,
"Callee","[wow64cpu.dll]","[wow64cpu.dll]",55,55,11.51,11.51,
"Root","[wow64win.dll]","[wow64win.dll]",7,5,1.46,1.05,
"Caller","[wow64win.dll]","[ntdll.dll]",3,0,0.63,0.00,
"Caller","[wow64win.dll]","[wow64.dll]",7,0,1.46,0.00,
"Caller","[wow64win.dll]","[wow64win.dll]",7,5,1.46,1.05,
"Callee","[wow64win.dll]","[ntdll.dll]",3,0,0.63,0.00,
"Callee","[wow64win.dll]","[wow64.dll]",3,0,0.63,0.00,
"Callee","[wow64win.dll]","[wow64win.dll]",7,5,1.46,1.05,
"Root","[ws2_32.dll]","[ws2_32.dll]",14,0,2.93,0.00,
"Caller","[ws2_32.dll]","[iisexpress.exe]",7,0,1.46,0.00,
"Caller","[ws2_32.dll]","[mswsock.dll]",1,0,0.21,0.00,
"Caller","[ws2_32.dll]","[webio.dll]",7,0,1.46,0.00,
"Caller","[ws2_32.dll]","[ws2_32.dll]",8,0,1.67,0.00,
"Callee","[ws2_32.dll]","[FWPUCLNT.DLL]",1,0,0.21,0.00,
"Callee","[ws2_32.dll]","[KernelBase.dll]",5,0,1.05,0.00,
"Callee","[ws2_32.dll]","[mswsock.dll]",9,0,1.88,0.00,
"Callee","[ws2_32.dll]","[ws2_32.dll]",8,0,1.67,0.00,
"Root","[xmllite.dll]","[xmllite.dll]",10,7,2.09,1.46,
"Caller","[xmllite.dll]","[iisexpress.exe]",6,0,1.26,0.00,
"Caller","[xmllite.dll]","[nativrd2.dll]",4,0,0.84,0.00,
"Caller","[xmllite.dll]","[xmllite.dll]",10,7,2.09,1.46,
"Callee","[xmllite.dll]","[msvcrt.dll]",1,1,0.21,0.21,
"Callee","[xmllite.dll]","[nativrd2.dll]",2,0,0.42,0.00,
"Callee","[xmllite.dll]","[xmllite.dll]",10,7,2.09,1.46,
